_id_x,Location_id,time,precipitation_sum (mm),_id_y,Lat,Lon
652fe077f3c7661538eba2f7,105,27/09/2023,9.6,652fe06ef3c7661538eae2ea,16.1546093,108.248582
652fe077f3c7661538eba2f8,105,28/09/2023,9.2,652fe06ef3c7661538eae2ea,16.1546093,108.248582
652fe077f3c7661538eba2f9,105,29/09/2023,13.2,652fe06ef3c7661538eae2ea,16.1546093,108.248582
652fe077f3c7661538eba2fa,105,30/09/2023,4.1,652fe06ef3c7661538eae2ea,16.1546093,108.248582
652fe077f3c7661538eba2fb,106,25/09/2023,73.1,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba2fc,106,26/09/2023,2.1,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba2fd,106,27/09/2023,9.6,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba2fe,106,28/09/2023,9.2,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba2ff,106,29/09/2023,13.2,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba300,106,30/09/2023,4.1,652fe06ef3c7661538eae2eb,16.1546093,108.2488649
652fe077f3c7661538eba301,107,25/09/2023,73.1,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba302,107,26/09/2023,2.1,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba303,107,27/09/2023,9.6,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba304,107,28/09/2023,9.2,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba305,107,29/09/2023,13.2,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba306,107,30/09/2023,4.1,652fe06ef3c7661538eae2ec,16.1546093,108.2491478
652fe077f3c7661538eba307,108,25/09/2023,73.1,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba308,108,26/09/2023,2.1,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba309,108,27/09/2023,9.6,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba30a,108,28/09/2023,9.2,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba30b,108,29/09/2023,13.2,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba30c,108,30/09/2023,4.1,652fe06ef3c7661538eae2ed,16.1546093,108.2494307
652fe077f3c7661538eba30d,109,25/09/2023,73.1,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba30e,109,26/09/2023,2.1,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba30f,109,27/09/2023,9.6,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba310,109,28/09/2023,9.2,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba311,109,29/09/2023,13.2,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba312,109,30/09/2023,4.1,652fe06ef3c7661538eae2ee,16.1546093,108.2497136
652fe077f3c7661538eba313,110,25/09/2023,73.1,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba314,110,26/09/2023,2.1,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba315,110,27/09/2023,9.6,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba316,110,28/09/2023,9.2,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba317,110,29/09/2023,13.2,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba318,110,30/09/2023,4.1,652fe06ef3c7661538eae2ef,16.1546093,108.2499965
652fe077f3c7661538eba319,111,25/09/2023,73.1,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31a,111,26/09/2023,2.1,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31b,111,27/09/2023,9.6,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31c,111,28/09/2023,9.2,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31d,111,29/09/2023,13.2,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31e,111,30/09/2023,4.1,652fe06ef3c7661538eae2f0,16.1546093,108.2502793
652fe077f3c7661538eba31f,112,25/09/2023,73.1,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba320,112,26/09/2023,2.1,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba321,112,27/09/2023,9.6,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba322,112,28/09/2023,9.2,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba323,112,29/09/2023,13.2,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba324,112,30/09/2023,4.1,652fe06ef3c7661538eae2f1,16.1546093,108.2505622
652fe077f3c7661538eba325,113,25/09/2023,73.1,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba326,113,26/09/2023,2.1,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba327,113,27/09/2023,9.6,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba328,113,28/09/2023,9.2,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba329,113,29/09/2023,13.2,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba32a,113,30/09/2023,4.1,652fe06ef3c7661538eae2f2,16.1546093,108.2508451
652fe077f3c7661538eba32b,114,25/09/2023,73.1,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba32c,114,26/09/2023,2.1,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba32d,114,27/09/2023,9.6,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba32e,114,28/09/2023,9.2,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba32f,114,29/09/2023,13.2,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba330,114,30/09/2023,4.1,652fe06ef3c7661538eae2f3,16.1546093,108.251128
652fe077f3c7661538eba331,115,25/09/2023,73.1,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba332,115,26/09/2023,2.1,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba333,115,27/09/2023,9.6,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba334,115,28/09/2023,9.2,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba335,115,29/09/2023,13.2,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba336,115,30/09/2023,4.1,652fe06ef3c7661538eae2f4,16.1546093,108.2514109
652fe077f3c7661538eba337,116,25/09/2023,73.1,652fe06ef3c7661538eae2f5,16.1546093,108.2516938
652fe077f3c7661538eba338,116,26/09/2023,2.1,652fe06ef3c7661538eae2f5,16.1546093,108.2516938
652fe077f3c7661538eba339,116,27/09/2023,9.6,652fe06ef3c7661538eae2f5,16.1546093,108.2516938
652fe077f3c7661538eba33a,116,28/09/2023,9.2,652fe06ef3c7661538eae2f5,16.1546093,108.2516938
